Years of operation,Size and estimates of annual sales revenue,Types of products they manufacture,Which of the following day to day challenges do you regularly face in running your furniture manufacturing business?,How does changes in the market demand affect your business?,Do you experience difficulties in managing your workforce?,How important is innovation for the future success of your furniture business?,Which areas of your business do you believe can benefit the most from innovation?,How do you expect innovation to affect your business in terms of business competitiveness?,What factors do you think are currently hindering innovation adoption in the furniture manufacturing industry?,Do you encounter difficulties in trying new ideas due to the culture of your organisation?,Have you ever tried using skilled personnel to support innovation initiatives?,Have you ever tried implementing any innovation strategies that were successful in your furniture manufacturing business? Specify the ones you used.,How do you evaluate if a new idea is worth trying for your furniture business?,"What have you learned from past innovation experiences?
"
1,1,1,4,1,1,2,1,1,2,1,1,0,4,2
1,1,1,1,1,1,2,1,1,1,1,0,0,3,2
4,3,1,5,2,1,2,1,1,1,1,1,4,3,3
3,4,1,5,2,1,1,4,1,1,1,1,8,1,1
1,1,2,1,1,0,1,5,1,1,0,0,5,3,1
4,3,1,5,1,1,2,1,1,2,1,1,7,3,1
2,2,4,5,0,1,1,4,1,3,1,0,9,3,1
4,4,1,6,1,1,2,1,1,4,0,1,3,6,2
3,4,2,6,1,1,2,2,1,6,1,1,6,4,1
4,3,1,5,1,1,2,1,1,5,1,1,13,5,1
3,3,4,5,1,1,2,1,1,1,1,0,11,3,3
3,4,3,3,1,1,2,3,1,2,1,1,10,3,3
4,3,1,5,1,1,2,1,1,2,1,1,1,1,1
2,2,4,5,1,0,1,4,0,3,1,0,12,2,1
2,2,2,2,1,0,2,4,1,1,1,0,2,2,1
