GENDER,Age group,Education,Experience,Challenges,New Accounting Policies,HyperInflation,Exchange rates,Did your company address these challenges?,How can your company address these challenges?,Training,New Data CS,Intern,Impact the overall business performance,Acess to External Funds,Diminished Credibility,Limited visibility ,Triggers,Compliance review,Developing a compliance plan,Engaging external experts,Regular monitoring and review,Transparency,Accurate FR,Improved access to resources such as labor and capital,Enhanced comparability,Increased transparency,Compliance
2,1,3,2,4,5,5,4,1,4,5,4,5,2,4,5,4,4,4,4,5,4,2,4,5,5,4,4
1,1,3,1,3,5,4,5,1,5,4,3,5,1,5,5,4,5,4,5,5,4,1,5,4,4,5,4
1,1,3,2,2,4,5,4,1,4,4,4,4,1,4,5,5,5,4,4,4,4,1,4,4,4,4,4
1,1,1,1,4,4,4,4,1,4,4,3,4,2,4,4,5,4,5,5,4,4,2,4,4,4,4,5
2,2,4,3,4,4,4,4,1,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4
1,2,3,2,4,4,1,4,1,4,5,1,4,2,4,5,4,2,4,4,4,3,1,4,3,4,5,2
1,1,3,3,4,4,4,4,2,5,4,5,5,1,4,5,4,5,5,5,4,4,1,5,3,5,4,5
2,3,4,5,4,5,4,4,2,4,4,5,5,1,5,4,4,4,5,4,5,5,4,4,4,5,4,4
1,4,4,3,4,5,5,5,2,4,3,5,4,1,1,1,3,4,3,3,5,5,3,4,2,3,4,5
1,2,4,3,4,5,5,5,1,1,4,4,3,1,4,4,4,5,4,4,4,5,1,3,5,5,5,5
2,3,3,3,4,5,5,5,2,4,5,5,5,2,5,4,4,5,5,5,5,5,1,5,4,5,5,5
1,1,2,2,5,4,4,5,2,5,5,5,5,1,5,4,4,5,5,5,4,5,3,4,3,4,4,4
1,1,3,3,2,3,5,5,1,4,4,5,4,1,4,5,5,3,5,4,2,4,1,3,4,5,5,5
2,1,3,3,4,5,5,4,1,5,5,4,5,2,5,4,4,4,4,4,2,4,1,5,4,4,5,4
1,1,3,3,3,5,4,5,2,5,5,5,5,2,5,5,5,5,5,5,4,4,2,5,3,5,5,5
2,3,5,3,5,3,4,4,2,3,5,4,4,3,4,3,3,4,4,4,5,5,1,5,5,4,4,4
1,2,1,3,1,2,2,4,2,4,3,1,4,3,4,5,4,1,4,4,3,4,3,2,4,5,2,2
2,2,2,3,3,4,1,3,2,5,4,4,3,3,4,2,5,4,4,5,5,3,2,1,4,4,3,3
1,4,2,4,3,4,4,4,1,3,4,4,5,1,5,4,4,4,4,3,4,5,2,4,3,4,5,4
2,3,5,4,4,5,4,4,1,4,4,3,4,1,4,5,3,4,4,5,4,4,1,5,5,4,4,5
